Unit Description	Description	Unit Area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Unit SA	Studio Design 1 (B5)	568	1			1		1		1	1											1		
Unit SA.1	Studio Design 1 (w/ Balcony) (B5)	568	1			1		1		1	1											1		1
Unit SB	Studio Design 2	570	1			1		1		1	1									1		1		
Unit SC	Studio Design 3 (B5)	669	1			1		1	1		1					1				1		1		
Unit SC.1	Studio Design 3.1	664	1			1		1	1		1					1				1		1		
Unit SD	Studio Design 4 (B5)	504	1			1		1			1							1		1			1	
Unit SD.1	Studio Design 4.1	498	1			1		1			1							1		1			1	
Unit SE	Studio Design 5 (B5)	506	1					1		1	1					2								
Unit SE - Type A	Studio Design 6 (B5)	668	1					1		1	1					2								
Unit SF.1 Type A	Studio Design 6.1 (B6)	664	1			1		1		1			1							1		1		
Unit 1A	1-bed Design 1 (w/ Balcony)	712	1		1	1		2	1		1					1								1
Unit 1A.1	1-bed Design 1.1	712	1		1	1		2	1		1					1								
Unit 1A.2	1-bed Design 1.2 (w/ Balcony)	701	1		1	1		2	1		1					1								1
Unit 1A.3	1-bed Design 1.3 (B5)	702	1		1	1		2	1		1					1								
Unit 1A.4	1-bed Design 1.4 (w/ Balcony) (B5)	699	1		1	1		2	1		1					1								1
Unit 1A.5	1-bed Design 1.5 (w/ Balcony) (B5)	709	1		1	1		2	1		1					1								1
Unit 1A.6	1-bed Design 1.6 (B5)	709	1		1	1		2	1		1					1								
Unit 1B	1-bed Design 2 (w/ Balcony) (B5)	760	1		1			2	1					1		1				1				1
Unit 1C	1-bed Design 3	642	1		1			1	1		1					1						1		
Unit 1D	1-bed Design 4	704	1		1			1	1		1					1				1				
Unit 1E - Type A	1-bed Design 5 (w/ Balcony) (B5)	760	1		1			1	1		1					2								1
Unit 1F - Type A	1-bed Design 6 (B6)	704																						
Unit 1G	1-bed Design 7 (B6)	719																						
Unit 1H	1-bed Design 8 (w/ Balcony) (B6)	777																						
Unit 1H.1	1-bed Design 8.1 (B6)	777																						
Unit 2A	2-bed Design 1 (w/ Balcony)	1058	1		2			3	1		1					3								1
Unit 2A.1	2-bed Design 1.1 (w/ Balcony)	1068	1		2			3	1		1					3						1		
Unit 2A.2	2-bed Design 1.2 (w/ Balcony) (B5)	1060	1																					
Unit 2A.3	2-bed Design 1.3 (w/ Balcony) (B5)	1073	1		2			2	1		1					3						1		
Unit 2A.4	2-bed Design 1.4 (w/ Balcony) (B6)	1053	1		2			3	1		1					3								1
Unit 2A.5	2-bed Design 1.5 (wBalcony) (B6)	1069	1		2			3	1		1					3								1
Unit 2A.6	2-bed Design 1.6 (w/Balcony) (B6)	1058	1		2			2	1		1					3						1		
Unit 2B	2-bed Design 2 (B5)	1106	1		2			2	1			1		1	1	1		2					1	1
Unit 2C	2-bed Design 3	1076	1		2			2	1		1				1	1							1	
Unit 2C.1	2-bed Design 3.1 (w/ Balcony) (B6)	1076	1		2			2	1		1				1	1							1	1
Unit 2D	2-bed Design 4 (w/ Den and Balcony) (B5)	1280	1		3			1	2				2			2				1			1	1
Unit 2E	2-bed Design 5 (w/ 2 Balconies)	1268	1	1	2	1		2	1		1					1		1		1		1		2
Unit 2E.1	2-bed Design 5.1 (B5)	1268	1	1	2	1		2	1		1					1		1		1		1		
Unit 2F	2-bed Design 6 (w/ Balcony)	1063	1		2			2	1		1					1		1		1		1		1
Unit 2F.1	2-bed Design 6.1 (w/ Smaller Balcony)	1063	1		2			2	1		1					1		1		1		1		1
Unit 2G	2-bed Design 7 (w/ Balcony)	1046	1		2			2	1		1					1		1		1		1		1
Unit 2G.1	2-bed Design 7.1 (B5)	1046	1																					
Unit 2J	2-bed Design 9 (w/ Den and Balcony) (B5)	1360	1		3			2	1		1				1	2		1				1		1
Unit 2J.1	2-bed Design 9 (w/ Den and 2 Balconies) (B5)	1360	1																					
Unit 2K - Type A	2-bed Design 10 (w/ Balcony) (B5)	1058	1					2	1				1			2				1			1	1
Unit 2L	2-bed Design 11 (w/ Den and Balcony) (B6)	1548	1																					
Unit 2M	2-bed Design 12 (B6)	1135	1																					
Unit 2M.1	2-bed Design 12 (w/ Balcony) (B6)	1135	1																					
Unit 2N	2-bed Design 13 (w/ Balcony) (B6)	1338	1																					
Unit 3A	3-bed Design 1 (w/ Den & Balcony) (B6)	1722	1																					
Unit 3B	3-bed Design 2 (w/ 2 Balconies) (B6)	1554	1																					
Unit 3B.1	3-bed Design 2.1 (w/ 1 Balcony) (B6)	1554	1																					
Sub-Totals																								
Total																								