MATERIAL_ID,MATERIAL_TYPE,ORIGINAL_CODE,ORIGINAL_COST,ALT_RANK,ALT_CODE,ALT_DESC,ALT_COST_MAT,ALT_COST_INST,ALT_COST_TOTAL,COST_REDUCTION_PCT,FUNCTIONAL_SCORE,DESIGN_SCORE,COST_SCORE,STRATEGY,STRATEGY_LABEL,QUANTITY,ALT_TOTAL_COST_TOTAL,ORIGINAL_TOTAL_COST,MATERIAL_DESC,PRODUCT_BRAND,PRODUCT_MODEL,PRODUCT_NOTES
W2,Window,4000,1715,0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,0.0,5.0,5.0,1,original,Original,95.0,162925.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",As Specified,Original Selection,
W2,Window,4000,1715,1,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_functional_cost,Best Functional + Cost,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",YKK AP,ProTek,Commercial aluminum
W2,Window,4000,1715,2,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_design_cost,Best Design + Cost,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",YKK AP,ProTek,Commercial aluminum
W2,Window,4000,1715,3,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_cost_only,Lowest Cost,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W2,Window,4000,1715,4,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,balanced,Balanced,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Kawneer,1600 Wall System,Architectural aluminum
W3,Window,4000,1715,0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,0.0,5.0,5.0,1,original,Original,85.0,145775.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",As Specified,Original Selection,
W3,Window,4000,1715,1,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_functional_cost,Best Functional + Cost,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W3,Window,4000,1715,2,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_design_cost,Best Design + Cost,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",YKK AP,ProTek,Commercial aluminum
W3,Window,4000,1715,3,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_cost_only,Lowest Cost,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W3,Window,4000,1715,4,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,balanced,Balanced,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W4,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5.0,5.0,1,original,Original,46.0,110860.0,110860.0,"W4 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",As Specified,Original Selection,
W4,Window,4050,2410,1,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,best_functional_cost,Best Functional + Cost,46.0,82340.0,110860.0,"W4 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W4,Window,4050,2410,2,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_design_cost,Best Design + Cost,46.0,78890.0,110860.0,"W4 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W4,Window,4050,2410,3,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_cost_only,Lowest Cost,46.0,78890.0,110860.0,"W4 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W4,Window,4050,2410,4,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,balanced,Balanced,46.0,82340.0,110860.0,"W4 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W4.1,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5.0,5.0,1,original,Original,4.0,9640.0,9640.0,"W4.1 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",As Specified,Original Selection,
W4.1,Window,4050,2410,1,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,best_functional_cost,Best Functional + Cost,4.0,7160.0,9640.0,"W4.1 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Andersen,400 Series Casement,Premium wood casement
W4.1,Window,4050,2410,2,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_design_cost,Best Design + Cost,4.0,6860.0,9640.0,"W4.1 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Andersen,400 Series Casement,Premium wood casement
W4.1,Window,4050,2410,3,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_cost_only,Lowest Cost,4.0,6860.0,9640.0,"W4.1 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W4.1,Window,4050,2410,4,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,balanced,Balanced,4.0,7160.0,9640.0,"W4.1 - Vinyl (2) CASEMENT (1) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W7,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5.0,5.0,1,original,Original,36.0,86760.0,86760.0,"W7 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (7'-6"" x 6'-0"")",As Specified,Original Selection,
W7,Window,4050,2410,1,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,best_functional_cost,Best Functional + Cost,36.0,64440.0,86760.0,"W7 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (7'-6"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W7,Window,4050,2410,2,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_design_cost,Best Design + Cost,36.0,61740.0,86760.0,"W7 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (7'-6"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W7,Window,4050,2410,3,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_cost_only,Lowest Cost,36.0,61740.0,86760.0,"W7 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (7'-6"" x 6'-0"")",Pella,Architect Series,Wood casement window
W7,Window,4050,2410,4,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,balanced,Balanced,36.0,64440.0,86760.0,"W7 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (7'-6"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W7.1,Window,4050,2410,0,4050,"Wood casement 7'-11"" x 6'-3""",2000,410,2410,0.0,5.0,5.0,1,original,Original,25.0,60250.0,60250.0,"W7.1 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",As Specified,Original Selection,
W7.1,Window,4050,2410,1,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,best_functional_cost,Best Functional + Cost,25.0,44750.0,60250.0,"W7.1 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Andersen,400 Series Casement,Premium wood casement
W7.1,Window,4050,2410,2,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_design_cost,Best Design + Cost,25.0,42875.0,60250.0,"W7.1 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Andersen,400 Series Casement,Premium wood casement
W7.1,Window,4050,2410,3,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,28.83817427385892,5.0,5.0,4,best_cost_only,Lowest Cost,25.0,42875.0,60250.0,"W7.1 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Pella,Architect Series,Wood casement window
W7.1,Window,4050,2410,4,4250,"Wood casement 5'-11"" x 5'-2""",1450,340,1790,25.72614107883817,5.0,5.0,4,balanced,Balanced,25.0,44750.0,60250.0,"W7.1 - Vinyl (1) CASEMENT (2) FIXED (3) FIXED BOTTOM (8'-0"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W10,Window,7650,1335,0,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,0.0,5.0,5.0,1,original,Original,5.0,6675.0,6675.0,"W10 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",As Specified,Original Selection,
W10,Window,7650,1335,1,4200,"Wood casement 4'-2"" x 4'-2""",955,265,1220,8.614232209737828,5.0,4.5,1,best_functional_cost,Best Functional + Cost,5.0,6100.0,6675.0,"W10 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Pella,Architect Series,Wood casement window
W10,Window,7650,1335,2,3950,"Wood casement 4'-2"" x 4'-2""",835,265,1100,17.60299625468165,5.0,4.5,3,best_design_cost,Best Design + Cost,5.0,5500.0,6675.0,"W10 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Andersen,400 Series Casement,Premium wood casement
W10,Window,7650,1335,3,3950,"Wood casement 4'-2"" x 4'-2""",835,265,1100,17.60299625468165,5.0,4.5,3,best_cost_only,Lowest Cost,5.0,5500.0,6675.0,"W10 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Pella,Architect Series,Wood casement window
W10,Window,7650,1335,4,4200,"Wood casement 4'-2"" x 4'-2""",955,265,1220,8.614232209737828,5.0,4.5,1,balanced,Balanced,5.0,6100.0,6675.0,"W10 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W11,Window,7650,1335,0,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,0.0,5.0,5.0,1,original,Original,11.0,14685.0,14685.0,"W11 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",As Specified,Original Selection,
W11,Window,7650,1335,1,4200,"Wood casement 4'-2"" x 4'-2""",955,265,1220,8.614232209737828,5.0,4.5,1,best_functional_cost,Best Functional + Cost,11.0,13420.0,14685.0,"W11 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Marvin,Essential Casement,Traditional wood
W11,Window,7650,1335,2,3950,"Wood casement 4'-2"" x 4'-2""",835,265,1100,17.60299625468165,5.0,4.5,3,best_design_cost,Best Design + Cost,11.0,12100.0,14685.0,"W11 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Pella,Architect Series,Wood casement window
W11,Window,7650,1335,3,3950,"Wood casement 4'-2"" x 4'-2""",835,265,1100,17.60299625468165,5.0,4.5,3,best_cost_only,Lowest Cost,11.0,12100.0,14685.0,"W11 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Andersen,400 Series Casement,Premium wood casement
W11,Window,7650,1335,4,4200,"Wood casement 4'-2"" x 4'-2""",955,265,1220,8.614232209737828,5.0,4.5,1,balanced,Balanced,11.0,13420.0,14685.0,"W11 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (4'-6"" x 6'-0"")",Pella,Architect Series,Wood casement window
W14,Window,3300,1010,0,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,0.0,5.0,5.0,1,original,Original,102.0,103020.0,103020.0,"W14 - Vinyl SLIDING GLASS DOOR (8'-0"" x 8'-0"")",As Specified,Original Selection,
W14.1,Window,3300,1010,0,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,0.0,5.0,5.0,1,original,Original,4.0,4040.0,4040.0,"W14.1 - Vinyl SLIDING GLASS DOOR (8'-0"" x 8'-0"")",As Specified,Original Selection,
W16,Window,4600,2900,0,4600,Wood fixed bay 8' x 5',2275,625,2900,0.0,5.0,5.0,1,original,Original,4.0,11600.0,11600.0,"W16 - Vinyl (2) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",As Specified,Original Selection,
W16,Window,4600,2900,1,3450,"Wood sliding 5'-4"" x 6'-0""",820,380,1200,58.620689655172406,5.0,5.0,5,best_functional_cost,Best Functional + Cost,4.0,4800.0,11600.0,"W16 - Vinyl (2) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Andersen,A-Series Gliding,Wood sliding window
W16,Window,4600,2900,2,4450,"Wood picture 5'-8"" x 4'-6""",830,380,1210,58.27586206896552,5.0,5.0,5,best_design_cost,Best Design + Cost,4.0,4840.0,11600.0,"W16 - Vinyl (2) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Andersen,A-Series Picture,Wood picture window
W16,Window,4600,2900,3,3300,"Wood sliding 5'-4"" x 6'-0""",680,330,1010,65.17241379310344,5.0,5.0,5,best_cost_only,Lowest Cost,4.0,4040.0,11600.0,"W16 - Vinyl (2) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Marvin,Ultimate Glider,Premium wood slider
W16,Window,4600,2900,4,4550,"Wood picture 5'-8"" x 4'-6""",1000,440,1440,50.3448275862069,5.0,5.0,5,balanced,Balanced,4.0,5760.0,11600.0,"W16 - Vinyl (2) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Pella,Architect Series Picture,Premium picture
