Type A Unit				
Appliance	Manufacturer	Model	Finish	Notes
Refrigerator	Samsung	RF22A4121SR	Stainless Steel	French door bottom freezer
Microwave	Samsung	MS19M8000AS	Stainless Steel	Built-in microwave
Range	Samsung	NE58R9430RS	Stainless Steel	
Dishwasher	Samsung	DW60R2014US	Stainless Steel	ADA dishwasher
Washer	Samsung	WF45T6000AW	Stainless Steel	W/D side by side
Dryer	Samsung	DVE45T6000W	Stainless Steel	W/D side by side
Range Hood	Samsung	NK30R3000US	Stainless Steel	W/ recirculating vent
Microwave Trim Kit	Samsung	MA-TK8020TS	Stainless Steel	For built-in microwave
				
Type B Unit				
Appliance	Manufacturer	Model	Finish	Notes
Refrigerator	Samsung	RF22A4121SR	Stainless Steel	French door bottom freezer
Microwave	Samsung	ME16A4021AS	Stainless Steel	With recirculating vent
Range	Samsung	NE58R9430RS	Stainless Steel	
Dishwasher	Samsung	DW80CG4021SR	Stainless Steel	
Washer / Dryer	Samsung	WH46B6H100EW	White	Single stacked unit, front load, long vent