CODE	MATERIAL	TYPE	DOORS	SPECIFICATION	OPENING	MAT.	INST.	TOTAL
5600	St. Stl. & glass	revolving	stock unit	manual oper.	"6'-0"" x 7'-0"""	"58,500"	"10,500"	"69,000"
5650	St. Stl. & glass	revolving	stock unit	auto Cntrls.	"6'-10"" x 7'-0"""	"77,500"	"11,300"	"88,800"
5700	Bronze	revolving	stock unit	manual oper.	"6'-10"" x 7'-0"""	"57,500"	"21,200"	"78,700"
5750	Bronze	revolving	stock unit	auto Cntrls.	"6'-10"" x 7'-0"""	"76,500"	"22,000"	"98,500"
5800	St. Stl. & glass	balanced	standard	economy	"3'-0"" x 7'-0"""	"13,000"	"1,800"	"14,800"
5850	St. Stl. & glass	balanced	standard	premium	"3'-0"" x 7'-0"""	"21,400"	"2,325"	"23,725"
6300	Alum. & glass	w/o transom	narrow stile	w/panic Hrdwre.	"3'-0"" x 7'-0"""	"3,550"	"1,175"	"4,725"
6350	Alum. & glass	w/o transom	narrow stile	"dbl. door, Hrdwre."	"6'-0"" x 7'-0"""	"6,900"	"2,000"	"8,900"
6400	Alum. & glass	w/o transom	wide stile	hdwre.	"3'-0"" x 7'-0"""	"3,750"	"1,175"	"4,925"
6450	Alum. & glass	w/o transom	wide stile	"dbl. door, Hdwre."	"6'-0"" x 7'-0"""	"7,350"	"2,375"	"9,725"
6500	Alum. & glass	w/o transom	full vision	hdwre.	"3'-0"" x 7'-0"""	"5,125"	"1,900"	"7,025"
6550	Alum. & glass	w/o transom	full vision	"dbl. door, Hdwre."	"6'-0"" x 7'-0"""	"8,125"	"2,675"	"10,800"
6600	Alum. & glass	w/o transom	non-standard	hdwre.	"3'-0"" x 7'-0"""	"3,850"	"1,175"	"5,025"
6650	Alum. & glass	w/o transom	non-standard	"dbl. door, Hdwre."	"6'-0"" x 7'-0"""	"7,675"	"2,375"	"10,050"
6700	Alum. & glass	w/o transom	bronze fin.	hdwre.	"3'-0"" x 7'-0"""	"3,225"	"1,175"	"4,400"
6750	Alum. & glass	w/o transom	bronze fin.	"dbl. door, Hrdwre."	"6'-0"" x 7'-0"""	"6,425"	"2,375"	"8,800"
6800	Alum. & glass	w/o transom	black fin.	hdwre.	"3'-0"" x 7'-0"""	"3,700"	"1,175"	"4,875"
6850	Alum. & glass	w/o transom	black fin.	"dbl. door, Hdwre."	"6'-0"" x 7'-0"""	"7,375"	"2,375"	"9,750"
6900	Alum. & glass	w/transom	narrow stile	hdwre.	"3'-0"" x 10'-0"""	"6,075"	"1,375"	"7,450"
6950	Alum. & glass	w/transom	narrow stile	"dbl. door, Hdwre."	"6'-0"" x 10'-0"""	"6,725"	"2,425"	"9,150"
7000	Alum. & glass	w/transom	wide stile	hdwre.	"3'-0"" x 10'-0"""	"7,100"	"1,650"	"8,750"
7050	Alum. & glass	w/transom	wide stile	"dbl. door, Hdwre."	"6'-0"" x 10'-0"""	"7,125"	"2,850"	"9,975"
7100	Alum. & glass	w/transom	full vision	hdwre.	"3'-0"" x 10'-0"""	"7,850"	"1,825"	"9,675"
7150	Alum. & glass	w/transom	full vision	"dbl. door, Hdwre."	"6'-0"" x 10'-0"""	"7,550"	"3,150"	"10,700"
7200	Alum. & glass	w/transom	non-standard	hdwre.	"3'-0"" x 10'-0"""	"3,975"	"1,275"	"5,250"
7250	Alum. & glass	w/transom	non-standard	"dbl. door, Hdwre."	"6'-0"" x 10'-0"""	"7,950"	"2,575"	"10,525"
7300	Alum. & glass	w/transom	bronze fin.	hdwre.	"3'-0"" x 10'-0"""	"3,350"	"1,275"	"4,625"
7350	Alum. & glass	w/transom	bronze fin.	"dbl. door, Hdwre."	"6'-0"" x 10'-0"""	"6,700"	"2,575"	"9,275"
7400	Alum. & glass	w/transom	black fin.	hdwre.	"3'-0"" x 10'-0"""	"3,825"	"1,275"	"5,100"
7450	Alum. & glass	w/transom	black fin.	"dbl. door, Hdwre."	"6'-0"" x 10'-0"""	"7,650"	"2,575"	"10,225"
7500	Alum. & glass	revolving	stock design	minimum	"6'-10"" x 7'-0"""	"45,300"	"4,250"	"49,550"
7550	Alum. & glass	revolving	stock design	average	"6'-0"" x 7'-0"""	"51,500"	"5,300"	"56,800"
7600	Alum. & glass	revolving	stock design	maximum	"6'-10"" x 7'-0"""	"59,000"	"7,075"	"66,075"
7650	Alum. & glass	revolving	stock design	"min., automatic"	"6'-10"" x 7'-0"""	"64,500"	"5,050"	"69,550"
7700	Alum. & glass	revolving	stock design	"avg., automatic"	"6'-10"" x 7'-0"""	"70,500"	"6,100"	"76,600"
7750	Alum. & glass	revolving	stock design	"max., automatic"	"6'-10"" x 7'-0"""	"78,000"	"7,875"	"85,875"
7800	Alum. & glass	balanced	standard	economy	"3'-0"" x 7'-0"""	"9,250"	"1,775"	"11,025"
7850	Alum. & glass	balanced	standard	premium	"3'-0"" x 7'-0"""	"11,000"	"2,275"	"13,275"
7900	Alum. & glass	mall front	sliding panels	alum. fin.	"16'-0"" x 9'-0"""	"5,600"	"1,025"	"6,625"
7950	Alum. & glass	mall front	sliding panels	alum. fin.	"24'-0"" x 9'-0"""	"7,850"	"1,900"	"9,750"
8000	Alum. & glass	mall front	sliding panels	bronze fin.	"16'-0"" x 9'-0"""	"6,525"	"1,200"	"7,725"
8050	Alum. & glass	mall front	sliding panels	bronze fin.	"24'-0"" x 9'-0"""	"9,150"	"2,225"	"11,375"
8100	Alum. & glass	mall front	fixed panels	alum. fin.	"48'-0"" x 9'-0"""	"14,100"	"1,475"	"15,575"
8150	Alum. & glass	mall front	fixed panels	bronze fin.	"48'-0"" x 9'-0"""	"16,400"	"1,725"	"18,125"
8200	Alum. & glass	sliding entrance	5' x 7' door	electric oper.	"12'-0"" x 7'-6"""	"10,300"	"1,900"	"12,200"
8250	Alum. & glass	sliding patio	temp. glass	economy	"6'-0"" x 7'-0"""	"1,150"	350	"1,500"
8300	Alum. & glass	sliding patio	temp. glass	economy	"12'-0"" x 7'-0"""	"4,975"	465	"5,440"
8350	Alum. & glass	sliding patio	temp. glass	premium	"6'-0"" x 7'-0"""	"1,725"	525	"2,250"
8400	Alum. & glass	sliding patio	temp. glass	premium	"12'-0"" x 7'-0"""	"7,475"	700	"8,175"
2350	Birch	solid core	single door	hinged	"2'-6"" x 6'-8"""	"3,050"	380	"3,430"
2400	Birch	solid core	single door	hinged	"2'-6"" x 7'-0"""	"3,050"	380	"3,430"
2450	Birch	solid core	single door	hinged	"2'-8"" x 7'-0"""	"3,050"	380	"3,430"
2500	Birch	solid core	single door	hinged	"3'-0"" x 7'-0"""	"3,050"	380	"3,430"
2550	Birch	solid core	double door	hinged	"2'-6"" x 6'-8"""	"5,925"	695	"6,620"
2600	Birch	solid core	double door	hinged	"2'-6"" x 7'-0"""	"5,925"	695	"6,620"
2650	Birch	solid core	double door	hinged	"2'-8"" x 7'-0"""	"5,925"	695	"6,620"
2700	Birch	solid core	double door	hinged	"3'-0"" x 7'-0"""	"5,550"	610	"6,160"
2750	Wood	combination	storm & screen	hinged	"3'-0"" x 6'-8"""	495	93	588
2800	Wood	combination	storm & screen	hinged	"3'-0"" x 7'-0"""	545	102	647
2850	Wood	overhead	"panels, H.D."	manual oper.	"8'-0"" x 8'-0"""	"1,350"	700	"2,050"
2900	Wood	overhead	"panels, H.D."	manual oper.	"10'-0"" x 10'-0"""	"1,950"	775	"2,725"
2950	Wood	overhead	"panels, H.D."	manual oper.	"12'-0"" x 12'-0"""	"2,500"	930	"3,430"
3000	Wood	overhead	"panels, H.D."	manual oper.	"14'-0"" x 14'-0"""	"3,325"	"1,075"	"4,400"
3050	Wood	overhead	"panels, H.D."	manual oper.	"20'-0"" x 16'-0"""	"8,900"	"2,150"	"11,050"
3100	Wood	overhead	electric oper.	manual oper.	"8'-0"" x 8'-0"""	"2,600"	"1,050"	"3,650"
3150	Wood	overhead	electric oper.	manual oper.	"10'-0"" x 10'-0"""	"3,200"	"1,125"	"4,325"
3200	Wood	overhead	electric oper.	manual oper.	"12'-0"" x 12'-0"""	"3,750"	"1,275"	"5,025"
3250	Wood	overhead	electric oper.	manual oper.	"14'-0"" x 14'-0"""	"4,575"	"1,425"	"6,000"
3300	Wood	overhead	electric oper.	manual oper.	"20'-0"" x 16'-0"""	"10,200"	"2,850"	"13,050"
3350	Steel 18 Ga.	hollow metal	1 door w/frame	no label	"2'-6"" x 7'-0"""	"3,075"	395	"3,470"
3400	Steel 18 Ga.	hollow metal	1 door w/frame	no label	"2'-8"" x 7'-0"""	"3,075"	395	"3,470"
3450	Steel 18 Ga.	hollow metal	1 door w/frame	no label	"3'-0"" x 7'-0"""	"3,125"	425	"3,550"
3500	Steel 18 Ga.	hollow metal	1 door w/frame	no label	"3'-6"" x 7'-0"""	"3,725"	415	"4,140"
3550	Steel 18 Ga.	hollow metal	1 door w/frame	no label	"4'-0"" x 8'-0"""	"4,275"	415	"4,690"
3600	Steel 18 Ga.	hollow metal	2 doors w/frame	no label	"5'-0"" x 7'-0"""	"6,150"	730	"6,880"
3650	Steel 18 Ga.	hollow metal	2 doors w/frame	no label	"5'-4"" x 7'-0"""	"6,150"	730	"6,880"
3700	Steel 18 Ga.	hollow metal	2 doors w/frame	no label	"6'-0"" x 7'-0"""	"6,150"	730	"6,880"
3750	Steel 18 Ga.	hollow metal	2 doors w/frame	no label	"7'-0"" x 7'-0"""	"7,400"	770	"8,170"
3800	Steel 18 Ga.	hollow metal	2 doors w/frame	no label	"8'-0"" x 8'-0"""	"8,550"	770	"9,320"
3850	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"2'-6"" x 7'-0"""	"4,275"	475	"4,750"
3900	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"2'-8"" x 7'-0"""	"3,675"	480	"4,155"
3950	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"3'-0"" x 7'-0"""	"3,675"	480	"4,155"
4000	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"3'-6"" x 7'-0"""	"4,525"	490	"5,015"
4050	Steel 18 Ga.	hollow metal	1 door w/frame	A label	"4'-0"" x 8'-0"""	"4,675"	515	"5,190"
4100	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"5'-0"" x 7'-0"""	"8,325"	880	"9,205"
4150	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"5'-4"" x 7'-0"""	"7,175"	890	"8,065"
4200	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"6'-0"" x 7'-0"""	"7,175"	890	"8,065"
4250	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"7'-0"" x 7'-0"""	"8,875"	910	"9,785"
4300	Steel 18 Ga.	hollow metal	2 doors w/frame	A label	"8'-0"" x 8'-0"""	"8,875"	910	"9,785"
4350	Steel 24 Ga.	overhead	sectional	manual oper.	"8'-0"" x 8'-0"""	"1,675"	700	"2,375"
4400	Steel 24 Ga.	overhead	sectional	manual oper.	"10'-0"" x 10'-0"""	"1,950"	775	"2,725"
4450	Steel 24 Ga.	overhead	sectional	manual oper.	"12'-0"" x 12'-0"""	"2,975"	930	"3,905"
4500	Steel 24 Ga.	overhead	sectional	manual oper.	"20'-0"" x 14'-0"""	"4,375"	"2,000"	"6,375"
4550	Steel 24 Ga.	overhead	electric oper.	manual oper.	"8'-0"" x 8'-0"""	"2,925"	"1,050"	"3,975"
4600	Steel 24 Ga.	overhead	electric oper.	manual oper.	"10'-0"" x 10'-0"""	"3,200"	"1,125"	"4,325"
4650	Steel 24 Ga.	overhead	electric oper.	manual oper.	"12'-0"" x 12'-0"""	"4,225"	"1,275"	"5,500"
4700	Steel 24 Ga.	overhead	electric oper.	manual oper.	"20'-0"" x 14'-0"""	"5,650"	"2,700"	"8,350"
4750	Steel	overhead	rolling	manual oper.	"8'-0"" x 8'-0"""	675	995	"1,670"
4800	Steel	overhead	rolling	manual oper.	"10'-0"" x 10'-0"""	995	"1,125"	"2,120"
4850	Steel	overhead	rolling	manual oper.	"12'-0"" x 12'-0"""	"1,375"	"1,325"	"2,700"
4900	Steel	overhead	rolling	manual oper.	"14'-0"" x 14'-0"""	"2,325"	"2,000"	"4,325"
4950	Steel	overhead	rolling	manual oper.	"20'-0"" x 12'-0"""	"3,375"	"1,775"	"5,150"
5000	Steel	overhead	rolling	manual oper.	"20'-0"" x 16'-0"""	"4,225"	"2,650"	"6,875"
5050	Steel	overhead	rolling	electric oper.	"8'-0"" x 8'-0"""	"1,875"	"1,325"	"3,200"
5100	Steel	overhead	rolling	electric oper.	"10'-0"" x 10'-0"""	"2,200"	"1,450"	"3,650"
5110	Steel	overhead	rolling	electric oper.	"10'-0"" x 10'-0"""	"3,275"	"2,000"	"5,275"
5150	Steel	overhead	rolling	electric oper.	"12'-0"" x 12'-0"""	"2,575"	"1,650"	"4,225"
5200	Steel	overhead	rolling	electric oper.	"14'-0"" x 14'-0"""	"3,525"	"2,325"	"5,850"
5250	Steel	overhead	rolling	electric oper.	"20'-0"" x 12'-0"""	"4,500"	"2,100"	"6,600"
5300	Steel	overhead	rolling	electric oper.	"20'-0"" x 16'-0"""	"5,350"	"2,975"	"8,325"
5350	Steel	overhead	fire rated	electric oper.	"10'-0"" x 10'-0"""	"3,800"	"1,450"	"5,250"
5400	Steel	overhead	rolling grille	manual oper.	"10'-0"" x 10'-0"""	"3,150"	"1,600"	"4,750"
5450	Steel	overhead	rolling grille	manual oper.	"15'-0"" x 8'-0"""	"4,200"	"2,000"	"6,200"
5500	Steel	vertical lift	1 door w/frame	motor operator	"16'-0"" x 16'-0"""	"27,600"	"9,525"	"37,125"
5550	Steel	vertical lift	1 door w/frame	motor operator	"32'-0"" x 24'-0"""	"64,000"	"6,350"	"70,350"
6000	Aluminum	combination	storm & screen	hinged	"3'-0"" x 6'-8"""	385	99.50	484.50
6050	Aluminum	combination	storm & screen	hinged	"3'-0"" x 7'-0"""	425	109	534
6100	Aluminum	overhead	rolling grille	manual oper.	"12'-0"" x 12'-0"""	"5,175"	"2,800"	"7,975"
6150	Aluminum	overhead	motor oper.	manual oper.	"12'-0"" x 12'-0"""	"7,000"	"3,125"	"10,125"
6200	Alum. & Fbrgls.	overhead	heavy duty	manual oper.	"12'-0"" x 12'-0"""	"2,975"	930	"3,905"
6250	Alum. & Fbrgls.	overhead	electric oper.	manual oper.	"12'-0"" x 12'-0"""	"4,225"	"1,275"	"5,500"